id	nichoir	cercle	hmax
272	1664	W	24.9
273	2151	E	22.8
274	2151	N	23.8
275	2151	S	23.2
276	2151	W	21.5
277	2152	E	21.8
278	2152	N	24.9
279	2152	S	21.5
280	2152	W	24.3
281	2153	E	24.8
282	2153	N	21
283	2153	S	25
284	2153	W	24.2
285	2154	E	20.6
286	2154	N	22.5
287	2154	S	23.6
288	2154	W	22.5
289	2161	E	23.7
290	2161	N	21.4
291	2161	S	22.2
292	2161	W	27.1
293	2162	E	24.9
294	2162	N	21.7
295	2162	S	23.8
296	2162	W	22.8
297	2163	E	20.5
298	2163	N	22.9
299	2163	S	21.7
300	2163	W	24.3
301	2164	E	22.4
302	2164	N	19.9
303	2164	S	20.5
304	2164	W	20.7
305	2181	E	16.9
306	2181	N	21.3
307	2181	S	16.8
308	2181	W	22.6
309	2182	E	19.9
310	2182	N	20
311	2182	S	20
312	2182	W	20.2
313	2183	E	20.4
314	2183	N	21.3
315	2183	S	21.9
316	2183	W	23
317	2184	E	19.9
318	2184	N	24.8
319	2184	S	20.3
320	2184	W	20.7
321	2191	E	24.5
322	2191	N	24.8
323	2191	S	22.4
324	2191	W	22.5
325	2192	E	20.1
326	2192	N	24.2
327	2192	S	20.2
328	2192	W	20.5
329	2193	E	21.3
330	2193	N	22.4
331	2193	S	18.7
332	2193	W	21.6
333	2194	E	21.4
334	2194	N	21.4
335	2194	S	19
336	2194	W	19.3
337	2231	E	31
338	2231	N	27.3
339	2231	S	28.3
340	2231	W	27.5
341	2232	E	30.8
342	2232	N	27.2
343	2232	S	29.6
344	2232	W	30.7
345	2233	E	27.6
346	2233	N	26.5
347	2233	S	28.2
348	2233	W	23.3
349	2234	E	25.2
350	2234	N	27.1
351	2234	S	26.8
352	2234	W	27.6
353	2451	E	23.9
354	2451	N	24.5
355	2451	S	21
356	2451	W	23.4
357	2452	E	22.2
358	2452	N	24.8
359	2452	S	22.1
360	2452	W	23.1
361	2453	E	23.8
362	2453	N	22.1
363	2453	S	22.3
364	2453	W	23.6
365	2454	E	22.3
366	2454	N	21.9
367	2454	S	21
368	2454	W	21
369	2551	E	23.8
370	2551	N	22.4
371	2551	S	26.4
372	2551	W	22.8
373	2552	E	23.9
374	2552	N	21.1
375	2552	S	21.5
376	2552	W	23.8
377	2553	E	22.1
378	2553	N	23.2
379	2553	S	19.9
380	2553	W	20.2
381	2554	E	27.1
382	2554	N	20.1
383	2554	S	22.7
384	2554	W	21.7
