"species"	"Migratory.mode"	"Social.system"
"Sitta pusilla"	"nonmigrant"	"Cooperative"
"Sitta pygmaea"	"nonmigrant"	"Cooperative"
"Regulus ignicapillus"	"migrant"	"Pair"
"Regulus regulus"	"migrant"	"Pair"
"Orthotomus sutorius"	"nonmigrant"	"Pair"
"Cettia cetti"	"migrant"	"Pair"
"Tichodroma muraria"	"migrant"	"Pair"
"Bombycilla cedrorum"	"migrant"	"Pair"
"Bombycilla garrulus"	"migrant"	"Pair"
"Phainopepla nitens"	"migrant"	"Pair"
"Prinia subflava"	"nonmigrant"	"Cooperative"
"Locustella luscinioides"	"migrant"	"Pair"
"Hypsipetes madagascariensis"	"nonmigrant"	"Unknown"
"Locustella naevia"	"migrant"	"Pair"
"Parus ater"	"nonmigrant"	"Pair"
"Parus cristatus"	"migrant"	"Pair"
"Parus major"	"migrant"	"Pair"
"Parus bicolor"	"nonmigrant"	"Cooperative"
"Parus carolinensis"	"nonmigrant"	"Occasional"
"Parus cinctus"	"nonmigrant"	"Pair"
"Parus gambeli"	"nonmigrant"	"Pair"
"Parus atricapillus"	"nonmigrant"	"Pair"
"Parus montanus"	"nonmigrant"	"Pair"
"Parus palustris"	"nonmigrant"	"Pair"
"Auriparus flaviceps"	"nonmigrant"	"Pair"
"Panurus biarmicus"	"migrant"	"Pair"
"Delichon urbica"	"migrant"	"Pair"
"Hirundo rustica"	"migrant"	"Occasional"
"Hirundo smithii"	"nonmigrant"	"Pair"
"Progne subis"	"migrant"	"Pair"
"Stelgidopteryx ruficollis"	"migrant"	"Pair"
"Tachycineta thalassina"	"migrant"	"Occasional"
"Riparia riparia"	"migrant"	"Pair"
"Notiochelidon cyanoleuca"	"migrant"	"Pair"
"Cisticola juncidis"	"migrant"	"Female only"
"Sylvia nisoria"	"migrant"	"Pair"
"Sylvia curruca"	"migrant"	"Pair"
"Sylvia hortensis"	"migrant"	"Pair"
"Sylvia communis"	"migrant"	"Pair"
"Sylvia atricapilla"	"migrant"	"Pair"
"Sylvia borin"	"migrant"	"Pair"
"Zosterops lateralis"	"migrant"	"Pair"
"Turdoides caudatus"	"nonmigrant"	"Cooperative"
"Aegithalos caudatus"	"nonmigrant"	"Cooperative"
"Pycnonotus cafer"	"nonmigrant"	"Pair"
"Pycnonotus jocosus"	"nonmigrant"	"Pair"
"Pycnonotus leucogenys"	"nonmigrant"	"Unknown"
"Scotocerca inquieta"	"nonmigrant"	"Pair"
"Hippolais icterina"	"migrant"	"Pair"
"Hippolais languida"	"migrant"	"Pair"
"Acrocephalus schoenobaenus"	"migrant"	"Pair"
