"individu"	"T0"	"T30"
1	57.56760666	108.7490962
2	48.59002169	30.72740419
3	59.0484454	186.4931309
4	28.78380332	51.82935646
5	85.05567607	156.5061461
6	99.77151121	134.1084599
7	40.63051338	86.62906725
8	64.32393347	134.4786696
9	55.90166306	180.9399855
10	59.0484454	93.66305134
11	114.5798988	146.417932
12	56.9197397	54.51337672
13	35.44757772	42.01879972
14	39.61243672	26.37744035
15	70.52494577	87.36948662
16	51.36659436	61.73246566
