mpoint	massif	abond	rs	annee	ST	Hdom	Ddom	essence	nstrates	dist_lisiere	latitude	longitude
Reno_Valdieu_247	Reno_Valdieu	24	17	8	32	36	70	CHE	5	31.5052	48.47969	0.69472
Reno_Valdieu_252	Reno_Valdieu	17	13	8	35	38	70	CHE	6	195.6059	48.47501	0.68135
Reno_Valdieu_253	Reno_Valdieu	15	11	8	35	38	70	CHE	6	297.9467	48.47505	0.68473
Reno_Valdieu_254	Reno_Valdieu	17	12	8	35	37	70	CHE	4	187.7012	48.4751	0.6881
Reno_Valdieu_255	Reno_Valdieu	17	17	8	35	37	70	CHE	4	15.8915	48.47515	0.69148
Reno_Valdieu_259	Reno_Valdieu	17	18	8	34	38	65	CHE	6	202.629	48.47046	0.67811
Reno_Valdieu_260	Reno_Valdieu	18	17	8	30	37	60	CHE	6	64.1954	48.47051	0.68149
Reno_Valdieu_261	Reno_Valdieu	21	16	8	30	37	60	CHE	6	140.9416	48.47056	0.68487
Reno_Valdieu_262	Reno_Valdieu	24	21	8	30	37	60	CHE	6	11.538	48.47061	0.68825
Reno_Valdieu_264	Reno_Valdieu	16	15	8	30	34	70	CHE	6	214.592	48.46597	0.67825
Reno_Valdieu_265	Reno_Valdieu	18	16	8	30	34	70	CHE	6	10.6726	48.46602	0.68163
Reno_Valdieu_28	Reno_Valdieu	22	15	8	30	41	65	CHE	5	205.0419	48.53309	0.65581
Reno_Valdieu_29	Reno_Valdieu	17	17	8	30	41	65	CHE	5	446.8743	48.53314	0.65919
Reno_Valdieu_30	Reno_Valdieu	21	14	8	28	40	80	CHE	6	634.466	48.53319	0.66258
Reno_Valdieu_31	Reno_Valdieu	16	17	8	28	40	80	CHE	6	793.033	48.53324	0.66596
Reno_Valdieu_32	Reno_Valdieu	15	16	8	14	39	65	CHE	3	1032.736	48.53333	0.67273
Reno_Valdieu_33	Reno_Valdieu	15	14	8	32	37	80	CHE	6	998.1595	48.53338	0.67611
Reno_Valdieu_34	Reno_Valdieu	17	19	8	24	36	80	CHE	6	781.5802	48.53343	0.67949
Reno_Valdieu_35	Reno_Valdieu	18	16	8	24	36	80	CHE	6	568.3663	48.53347	0.68288
Reno_Valdieu_36	Reno_Valdieu	14	13	8	25	33	45	CHE	5	371.2368	48.53352	0.68626
Reno_Valdieu_37	Reno_Valdieu	14	12	8	25	33	45	CHE	5	160.8587	48.53357	0.68964
Reno_Valdieu_50	Reno_Valdieu	15	16	8	28	31	55	CHE	5	166.2787	48.5286	0.65596
Reno_Valdieu_51	Reno_Valdieu	12	14	8	28	31	55	CHE	5	414.8765	48.52865	0.65934
Reno_Valdieu_52	Reno_Valdieu	13	11	8	33	36	55	CHE	6	663.4742	48.52869	0.66272
Reno_Valdieu_53	Reno_Valdieu	16	14	8	33	36	55	CHE	6	794.3497	48.52874	0.6661
Reno_Valdieu_54	Reno_Valdieu	13	13	8	23	32	45	CHE	6	822.027	48.52879	0.66949
Reno_Valdieu_55	Reno_Valdieu	9	10	8	23	32	45	CHE	6	919.4919	48.52884	0.67287
Reno_Valdieu_57	Reno_Valdieu	20	20	8	10	35	70	CHE	6	811.8345	48.52893	0.67964
Reno_Valdieu_58	Reno_Valdieu	16	15	8	23	29	35	CHE	5	605.8824	48.52898	0.68302
Reno_Valdieu_59	Reno_Valdieu	13	13	8	23	29	35	CHE	5	411.4793	48.52903	0.6864
Reno_Valdieu_6	Reno_Valdieu	14	18	8	27	30	50	CHE	6	39.9166	48.54227	0.66906
Reno_Valdieu_60	Reno_Valdieu	18	14	8	23	29	35	CHE	5	170.87	48.52907	0.68978
Reno_Valdieu_7	Reno_Valdieu	22	14	8	27	30	50	CHE	6	184.3645	48.54237	0.67582
Reno_Valdieu_75	Reno_Valdieu	17	14	8	20	34	60	CHE	6	101.076	48.52396	0.64595
Reno_Valdieu_76	Reno_Valdieu	14	17	8	32	38	65	CHE	6	298.2013	48.52401	0.64933
Reno_Valdieu_77	Reno_Valdieu	15	16	8	32	38	65	CHE	6	366.8696	48.52406	0.65272
Reno_Valdieu_78	Reno_Valdieu	19	15	8	32	38	65	CHE	6	403.8803	48.52411	0.6561
Reno_Valdieu_79	Reno_Valdieu	15	15	8	23	25	30	CHE	6	465.8596	48.52415	0.65948
Reno_Valdieu_8	Reno_Valdieu	20	14	8	27	30	50	CHE	6	234.679	48.54241	0.67921
Reno_Valdieu_80	Reno_Valdieu	21	17	8	NA	5	6	CHE	3	407.5908	48.5242	0.66286
Reno_Valdieu_81	Reno_Valdieu	8	10	8	28	27	30	CHE	5	295.6968	48.52425	0.66625
Reno_Valdieu_82	Reno_Valdieu	14	11	8	28	27	30	CHE	5	363.5568	48.5243	0.66963
Reno_Valdieu_83	Reno_Valdieu	4	4	8	20	22	20	CHE	6	531.299	48.52434	0.67301
Reno_Valdieu_84	Reno_Valdieu	19	12	8	14	39	65	CHE	3	736.1938	48.52439	0.6764
Reno_Valdieu_85	Reno_Valdieu	10	13	8	24	29	35	CHE	5	585.0503	48.52444	0.67978
Reno_Valdieu_86	Reno_Valdieu	8	13	8	23	28	35	CHE	6	369.2125	48.52449	0.68316
Reno_Valdieu_87	Reno_Valdieu	12	14	8	23	28	35	CHE	6	169.9669	48.52453	0.68654
